Chrysochloris asiatica	Eremitalpa granti	Afrosoricida
Ammotragus lervia	Capra hircus	Artiodactyla
Bos indicus	Bos taurus	Artiodactyla
Camelus bactrianus	Camelus dromedarius	Artiodactyla
Cervus elaphus	Cervus unicolor	Artiodactyla
Muntiacus muntjak	Muntiacus reevesi	Artiodactyla
Phacochoerus africanus	Sus scrofa	Artiodactyla
Arctocephalus forsteri	Phocarctos hookeri	Carnivora
Canis latrans	Canis lupus familiaris	Carnivora
Enhydra lutris	Lutra lutra	Carnivora
Eumetopias jubatus	Zalophus californianus	Carnivora
Halichoerus grypus	Phoca sibirica	Carnivora
Leptonychotes weddellii	Lobodon carcinophaga	Carnivora
Martes melampus	Martes zibellina	Carnivora
Panthera pardus	Panthera tigris	Carnivora
Phoca fasciata	Phoca groenlandica	Carnivora
Phoca largha	Phoca vitulina	Carnivora
Ursus arctos	Ursus maritimus	Carnivora
Balaenoptera acutorostrata	Balaenoptera bonaerensis	Cetacea
Balaenoptera brydei	Balaenoptera edeni	Cetacea
Balaenoptera physalus	Megaptera novaeangliae	Cetacea
Berardius bairdii	Hyperoodon ampullatus	Cetacea
Eubalaena australis	Eubalaena japonica	Cetacea
Kogia breviceps	Physeter catodon	Cetacea
Monodon monoceros	Phocoena phocoena	Cetacea
Artibeus jamaicensis	Mystacina tuberculata	Chiroptera
Chalinolobus tuberculatus	Pipistrellus abramus	Chiroptera
Pteropus dasymallus	Pteropus scapulatus	Chiroptera
Rhinolophus monoceros	Rhinolophus pumilus	Chiroptera
Dasyurus hallucatus	Phascogale tapoatafa	Dasyuromorphia
Myrmecobius fasciatus	Sminthopsis douglasi	Dasyuromorphia
Metachirus nudicaudatus	Thylamys elegans	Didelphimorphia
Dactylopsila trivirgata	Petaurus breviceps	Diprodontiae
Phalanger interpositus	Trichosurus vulpecula	Diprodontiae
Phascolarctos cinereus	Vombatus ursinus	Diprodontiae
Pseudocheirus peregrinus	Tarsipes rostratus	Diprodontiae
Erinaceus europaeus	Hemiechinus auritus	Erinaceomorpha
Dendrohyrax dorsalis	Procavia capensis	Hyracoidea
Ochotona collaris	Ochotona princeps	Lagomorpha
Ornithorhynchus anatinus	Tachyglossus aculeatus	Monotremata
Isoodon macrourus	Macrotis lagotis	Paramelemorphia
Ceratotherium simum	Rhinoceros unicornis	Perissodactyla
Bradypus tridactylus	Choloepus didactylus	Pilosa
Colobus guereza	Procolobus badius	Primates
Eulemur fulvus fulvus	Eulemur fulvus mayottensis	Primates
Macaca sylvanus	Papio hamadryas	Primates
Nasalis larvatus	Pygathrix roxellana	Primates
Pongo abelii	Pongo pygmaeus	Primates
Tarsius bancanus	Tarsius syrichta	Primates
Elephas maximus	Mammuthus primigenius	Proboscidea
Microtus kikuchii	Microtus rossiaemeridionalis	Rodentia
Rattus norvegicus	Rattus rattus	Rodentia
Sciurus vulgaris	Thryonomys swinderianus	Rodentia
Galemys pyrenaicus	Urotrichus talpoides	Soricomorpha
