COX1	Recuento	COX2	Recuento	COX3	Recuento
1950	2	3300	9	4374.802	36
2050	4	3500	27	4554.5703	20
2150	3	3700	9	4734.3387	20
2250	4	3900	0	4914.107	49
2350	28	4100	26	5093.8754	135
2450	33	4300	51	5273.6438	111
2550	55	4500	75	5453.4121	259
2650	96	4700	38	5633.1805	268
2750	142	4900	67	5812.9488	335
2850	273	5100	143	5992.7172	624
2950	300	5300	185	6172.4855	405
3050	392	5500	403	6352.2539	788
3150	490	5700	384	6532.0223	833
3250	610	5900	571	6711.7906	771
3350	773	6100	704	6891.559	863
3450	787	6300	522	7071.3273	712
3550	812	6500	586	7251.0957	628
3650	797	6700	767	7430.864	753
3750	767	6900	659	7610.6324	473
3850	811	7100	703	7790.4008	537
3950	685	7300	792	7970.1691	239
4050	565	7500	497	8149.9375	445
4150	423	7700	428	8329.7058	190
4250	300	7900	485	8509.4742	73
4350	261	8100	278	8689.2425	177
4450	213	8300	465	8869.0109	101
4550	142	8500	285	9048.7793	40
4650	84	8700	185	9228.5476	58
4750	63	8900	157	9408.316	18
4850	38	9100	99	9588.0843	39
4950	12	9300	100	-	-
5050	27	9500	83	-	-
5150	0	9700	101	-	-
5250	2	9900	41	-	-
5350	2	10100	34	-	-
5450	4	10300	9	-	-
-	-	10500	11	-	-
-	-	10700	21	-	-
